bookId,title,author,publisher,publicationYear,description,price,quantity,picture,categoryId
CN01,"Quản Lý Nhân Sự Trong Thời Đại Công Nghệ","Peter F. Drucker","NXB Công Thương",2025,"""Quản lý nhân sự trong thời đại công nghệ"" là một tuyển tập gồm 12 bài viết kinh điển của Peter F. Drucker - người được xem là “cha đẻ của ngành quản trị hiện đại”. Cuốn sách tập trung làm rõ vai trò then chốt của con người trong một thế giới được định hình lại hoàn toàn bởi công nghệ, đồng thời đặt ra những câu hỏi sâu sắc về bản chất, mục tiêu và trách nhiệm của hoạt động quản trị trong bối cảnh kỹ thuật số.",143200,10,"img21.jpg",C06
CN02,"Quản Lý Công Nghệ Thông Tin Trong Y Tế - Chiến Lược, Tầm Nhìn Và Kỹ Năng","Susan T. Snedaker","NXB Thế Giới",2025,"Trong bối cảnh y tế ngày càng số hóa, công nghệ thông tin y tế (CNTTYT) giữ vai trò trung tâm của hệ thống vận hành. Cuốn sách này là một cẩm nang thực hành cho lãnh đạo CNTT trong ngành y, tập trung không chỉ vào công nghệ mà còn vào kỹ năng lãnh đạo, quản trị và định hướng chiến lược.",137970,3,"img22.jpg",C06
CN03,"NVIDIA - Gã Khổng Lồ Công Nghệ Thống Trị Chip Bán Dẫn AI","Tsuda Kenji","NXB Công Thương",2025,"NVIDIA, thành lập năm 1993 bởi 3 nhà đồng sáng lập: Jensen Huang – đảm nhận vị trí CEO, Chris Malachowsky và Curtis Priem. Ban đầu NVIDIA tập trung vào phát triển GPU để tạo đồ họa 3D trên máy tính cá nhân. Từ những năm 2010, công ty tận dụng GPU để tăng tốc nghiên cứu AI, đặc biệt là đầu tư vào công nghệ học sâu, giúp họ vươn lên dẫn đầu trong lĩnh vực trí tuệ nhân tạo.",151200,6,"img23.jpg",C06
CN04,"Mã Hóa Đằng - Nhà Lãnh Đạo Trầm Lặng","Trương Diễm Hà","NXB Dân Trí",2024,"Trong “Danh sách tỷ phú toàn cầu của Forbes năm 2020”, Mã Hóa Đằng trở thành người giàu nhất Trung Quốc với 46 tỷ đô la, vượt qua cả Jack Ma lừng lẫy. Nhưng ngược dòng thời gian về lại năm 1998, khi chàng trai 27 tuổi Mã Hóa Đằng rời Nhuận Tấn, nơi anh đã làm việc suốt năm năm, người ngoài khó có thể nhìn thấy “tham vọng” nào trên khuôn mặt anh và không ai có thể tưởng tượng được chàng thanh niên bình thường này chính là người sẽ tạo nên một Tencent huyền thoại trong lĩnh vực công nghệ. Ngày nay, Tencent đã trở thành “siêu đại gia” với giá trị thị trường vượt mốc 500 tỷ đô la. QQ và WeChat đã thâm nhập vào đời sống của gần như toàn bộ cư dân mạng Trung Quốc.",120000,4,"img24.jpg",C06
CN05,"Cuộc Chiến Tranh Công Nghệ Cao Ở Hàng Rào Điện Tử McNamara 1966-1972","PGS. TS. Hoàng Chí Hiếu","NXB Tổng hợp TP. HCM",2022,"Lần đầu tiên trong chiến tranh ở Việt Nam và cũng là trong lịch sử chiến tranh thế giới, Mỹ triển khai cuộc chiến tranh công nghệ cao, kết hợp giữa các lực lượng trên bộ (được trang bị những vũ khí hiện đại nhất cho đến thời điểm đó) với tác chiến điện tử và thông tin dưới sự chi viện tối đa của hỏa lực tối tân trên không, trên biển. Hàng rào điện tử McNamara trở thành biểu trưng của sức mạnh Mỹ, thể hiện quyết tâm ngăn chặn làn sóng cách mạng ở Đông Nam Á. Đối với ta, Hàng rào điện tử McNamara là nơi thử thách bản lĩnh và trí tuệ Việt Nam, nơi thể hiện quyết tâm đánh Mỹ và thắng Mỹ để thống nhất đất nước của dân tộc. Kết quả của cuộc đụng đầu tại đây, do đó có ảnh hưởng quyết định đến cục diện của cuộc kháng chiến chống Mỹ, cứu nước. Trong cuộc đối đầu đó, bản lĩnh và trí tuệ Việt Nam đã giành được thắng lợi trước sức mạnh khổng lồ và những thành tựu khoa học quân sự mới nhất của siêu cường Mỹ, khi toàn bộ chương trình ngăn chặn này bị vô hiệu hóa. Đó chính là “một thí dụ vô song về sự toàn thắng của trí tuệ con người đối với máy móc.""",79200,15,"img57.jpg",C06
CN06,"Khoa Học Diệu Kì - Công Nghệ Y Học - Từ Ống Tiêm Nhỏ Bé Cho Đến Robot Cứu Mạng","Cath Senker","NXB Trẻ",2022,"Trong tập sách “Công nghệ y học: Từ ống tiêm nhỏ bé cho đến robot cứu mạng”, chúng ta sẽ tìm hiểu về các kĩ thuật chăm sóc sức khỏe, các loại vaccine ngừa bệnh và các thiết bị điện tử khác giúp kiểm tra chế độ ăn uống và tình trạng sức khỏe. Nhờ đó, chúng ta sẽ ít bị ốm hơn và có cuộc sống lành mạnh, hạn chế các nguy cơ mắc bệnh hiểm nghèo.",31500,26,"img58.jpg",C06
CN07,"Tiếp Thị 5.0 - Công Nghệ Vị Nhân Sinh","Philip Kotler, Hermawan Kartajaya, Iwan Setiawan","NXB Trẻ",2021,"Trong ""Tiếp thị 5.0"", cha đẻ của tiếp thị hiện đại, Philip Kotler giải thích cách các nhà tiếp thị có thể ứng dụng công nghệ để giải quyết nhu cầu của khách hàng và tạo nên khác biệt.",96000,31,"img59.jpg",C06
CN08,"Những Gã Khổng Lồ Công Nghệ Trung Quốc","Rebecca A. Fannin","NXB Thế Giới",2021,"Cuốn sách đưa ra bức tranh toàn cảnh về diện mạo của nền công nghệ Trung Quốc hiện nay, từ khi còn là một kẻ chuyên đi sao chép trở thành người khởi xướng xu hướng công nghệ của thế giới. Hành trình vươn lên mạnh mẽ của nền công nghệ Trung Quốc sẽ cho độc giả cái nhìn hoàn toàn khác về quốc gia này, đồng thời vẽ nên cục diện công nghệ của thế giới hiện nay.",159200,50,"img60.jpg",C06
DL40,"Quản Lý Thực Chiến ","
Peter F. Drucker ","NXB Tri Thức",2007,"Trong bối cảnh nền kinh tế toàn cầu đang chuyển động không ngừng với tốc độ chưa từng có, các nhà quản lý ngày nay không chỉ đối mặt với áp lực về kết quả mà còn phải liên tục thích nghi, điều hướng và ra quyết định trong một môi trường đầy bất định. “Quản Lý Thực Chiến” của Peter F. Drucker - cây đại thụ trong lĩnh vực quản trị - là cuốn sách được thiết kế để phục vụ trực tiếp cho những người đứng mũi chịu sào trong các tổ chức: nhà điều hành, lãnh đạo doanh nghiệp, trưởng bộ phận và bất kỳ ai đang đóng vai trò ra quyết định.

Khác với những tác phẩm thiên về lý thuyết quản trị, “Quản Lý Thực Chiến” tập hợp những bài viết chọn lọc được Drucker biên soạn trong giai đoạn 1986-1991. Tác giả chủ đích không sửa đổi ngôn ngữ, quan điểm hay dự đoán đã từng được đưa ra, để độc giả có thể trực tiếp kiểm chứng tính bền vững của những tư tưởng ấy qua thời gian. Chính sự “thực chiến” này khiến cuốn sách vẫn giữ nguyên giá trị cốt lõi, bất chấp thời đại thay đổi.

Sách được chia thành các phần tương ứng với những mảng chiến lược thiết yếu trong vận hành tổ chức: kinh tế học, con người, quản trị, tổ chức. Ở mỗi phần, Drucker không chỉ đưa ra phân tích sắc sảo về bối cảnh và xu thế, mà còn tập trung vào hành động - cụ thể hóa thành các câu hỏi chiến lược dành cho lãnh đạo, từ đó kích thích tư duy phản biện và hoạch định.

Điểm mạnh nổi bật của “Quản Lý Thực Chiến” không nằm ở sự hoa mỹ của câu chữ mà ở tính định hướng thực tiễn. Qua từng chương, độc giả được mời gọi phản tỉnh sâu sắc: “Tôi và tổ chức của mình đã thật sự hành động theo đúng những gì biết cần làm chưa?”, “Cơ hội nào đang bị bỏ lỡ?”, “Điều gì cần dừng lại ngay lập tức?”. Những câu hỏi tưởng chừng đơn giản ấy lại là chìa khóa để tái thiết tư duy chiến lược và nâng cấp hệ điều hành lãnh đạo cá nhân.

Dù được viết cách đây hơn ba thập kỷ, nhiều luận điểm của Drucker vẫn còn nguyên sức nặng. Ông cảnh báo từ rất sớm về các nguy cơ của chủ nghĩa ngắn hạn trong quản trị, nhấn mạnh vai trò của đạo đức, trách nhiệm xã hội, và việc xây dựng cấu trúc tổ chức linh hoạt để thích nghi với biến động. Cuốn sách đồng thời cũng mở rộng góc nhìn về toàn cầu hóa, các mô hình hợp tác liên minh, và việc thiết kế lại doanh nghiệp để đáp ứng yêu cầu của thời đại tri thức.

“Quản Lý Thực Chiến” không phải là cuốn sách đọc để giải trí, mà là tài liệu làm việc - một cẩm nang để nhà quản lý quay lại, rà soát và hiệu chỉnh tư duy hành động trong hành trình chinh phục hiệu quả dài hạn và bền vững. ",848000,14,"img74.jpg",C09
ĐS01,"Công Việc - Tình - Tiền: Đời Sống Thực Tế Trên Hành Trình Tâm Linh","Chogyam Trungpa","NXB Lao Động",2013,"Trong cuốn sách này, Chogyam Trungpa, đại sứ Phật giáo Tây Tạng, khuôn mặt độc đáo và lẫy lừng trong nhiều thập niên tại châu Âu và Bắc Mỹ, thuyết giảng về những chủ đề hết sức quen thuộc trong đời sống hàng ngày cũng như khả năng chúng ta có thể đương đầu với mọi trải nghiệm, tích cực và tiêu cực, bằng lòng tự trọng, khiếu hài hước và cả niềm vui. Công việc - Tình - Tiền không phải là những chướng ngại mà là những điểm gắn kết của con người trên hành trình tâm linh.",41250,15,"img25.jpg",C07
ĐS02,"Đời Sống Của Phụ Nữ Ai Cập Cổ Đại","Lisa K. Sabbahy","NXB Hồng Đức",2025,"Vào khoảng những năm 1980, các nhà khảo cổ học nhìn chung nhận ra rằng, sự hiểu biết về quá khứ chủ yếu dựa trên lịch sử của nam giới, cuộc sống của phụ nữ Ai Cập cổ đại cũng chỉ được hiện ra đôi chút dưới ngòi bút của những người đàn ông
Như vậy, phải chăng phụ nữ Ai Cập cổ đại chỉ là những bóng mờ phía sau ngai vàng? Đời sống của phụ nữ Ai Cập cổ đại đã chứng minh điều ngược lại. Thông qua các bằng chứng khảo cổ học và phân tích lịch sử, Lisa K. Sabbahy - một học giả nữ - đưa người đọc bước vào thế giới của phụ nữ Ai Cập cổ đại, hé mở những sự thật đằng sau vai trò của những người vợ, người mẹ, nữ nô lệ, nữ tư tế và nữ hoàng. Từ đời sống gia đình đến các nghi lễ tôn giáo, từ quyền lợi pháp lý đến hoạt động kinh tế, cuốn sách cho thấy một thế giới phong phú và đa chiều về cuộc sống của phụ nữ ở Ai Cập cổ đại - vượt xa những định kiến phổ biến thông thường.",148000,6,"img26.jpg",C07
ĐS03,"Đời Sống Bí Ẩn Của Cây","Peter Wohlleben","NXB Thế Giới",2025,"Đời Sống Bí Ẩn Của Cây",126650,13,"img27.jpg",C07
ĐS04,"Krishnamurti Nói Về Đời Sống - Tập 3","J. Krishnamurti","NXB Dân Trí",2024,"Chắc hẳn trong cuộc đời mỗi chúng ta, đã từng được ngắm những bức tranh tuyệt đẹp được vẽ bằng màu nước. Vậy bạn đã từng “lặng người” khi được ngắm những bức tranh đẹp tinh tế được vẽ bằng lời chưa? Krishnamurti đã thành công trong việc sử dụng những từ ngữ đơn giản để vẽ nên bức tranh tả cảnh đầy màu sắc, nơi trời và đất gặp nhau, cảnh và người là một…. Toàn bộ bức tranh sống động diễn ra ngay trước mắt người đọc nhưng không hề có bóng dáng của người quan sát.
Với lối dẫn dắt từ cảnh đến người, từ thiên nhiên đến đời sống, Krishnamurti đã dắt tay người đọc chạm vào chìa khóa của việc tìm ra ý nghĩa của đời sống là gì? Tập 3, với các chủ đề: sự nhạy bén, vấn đề xoay quanh việc tìm kiếm, tầm quan trọng của thay đổi… chính là cánh cửa phía sau chiếc chìa khóa đó.",254150,5,"img28.jpg",C07
DS05,"Bây Giờ Và Ở Đây - Thiền Chánh Niệm Trong Đời Sống Hàng Ngày","Jon Kabat-Zinn","NXB Tổng hợp TP.HCM",2022,"“Sự thật là quyển sách này đến nay đã... được dịch ra 20 thứ tiếng cho thấy thông điệp cơ bản của nó đã thu hút và chạm tới người đọc, có lẽ bởi đã quá lâu rồi chúng ta không được tiếp xúc trực tiếp với con người mà trong thâm tâm chúng ta biết là bản chất của mình nhưng đồng thời lại cảm thấy hơi xa cách. Có lẽ nó đã chạm vào một khao khát ngày càng mãnh liệt của chúng ta về sự chân thực, thân mật, sáng tỏ và nhắc chúng ta nhớ lại điều mà chúng ta vốn đã biết: những phẩm chất này chỉ có thể được tìm thấy trong chính mình và trong việc sống trong hiện tại, và hiện tại đó luôn mở ra ngay ở đây và ngay bây giờ, bất chấp hoàn cảnh của chúng ta.”",148000,20,"img61.jpg",C07
DS06,"Seneca - Những Bức Thư Đạo Đức - Chủ Nghĩa Khắc Kỷ Trong Đời Sống - Tập 2","Lucius Annaeus Seneca","NXB Thế Giới",2022,"Chủ Nghĩa Khắc Kỷ được khai sinh với sứ mệnh trui rèn bản lĩnh và tinh thần của con người trước những áp lực và khổ đau trong cuộc sống. Trong một thế giới hiện đại chênh vênh và đầy khủng hoảng: thất nghiệp, dịch bệnh, nỗi đau, cái chết, Chủ Nghĩa Khắc Kỷ sẽ giúp bạn vững vàng đối mặt và tìm được sự bình thản trong tâm trí (the tranquillity of mind), để không bị ""cuốn theo chiều gió"" trước vô vàn những cám dỗ và khó khăn của đời sống thường ngày.",143100,26,"img62.jpg",C07
DS07,"Đời Sống Bí Ẩn Của Khoa Học","Jeremy J. Baumberg","NXB Tri Thức",2022,"Đời sống bí ẩn của khoa học là một bức tranh mô tả cặn kẽ về những ngóc ngách của khoa học hiện đại. Tác phẩm cho thấy những nét chân thực trong hệ sinh thái khoa học phức tạp vốn đang dần trở thành một môi trường đầy tính cạnh tranh giống như một thị trường tự do. Từ đó, ta thấy phạm vi rộng lớn của hệ sinh thái này, những động cơ thúc đẩy các nhà khoa học dấn thân, những người nào có nhiều cơ hội nhận được các giải thưởng danh giá. Phải chăng chỉ vài nhà khoa học trên thế giới mới có được vinh dự ấy? Phải chăng các lĩnh vực của khoa học đang mở rộng? Khoa học được chia sẻ và được công bố như thế nào và ai là người quyết định cho vấn đề này? Tương lai của khoa học sẽ ra sao?",172000,13,"img63.jpg",C07
DS08,"Đời Sống Vỉa Hè Sài Gòn","Annette M. Kim","NXB Dân Trí",2022,"""Đời Sống Vỉa Hè Sài Gòn có sức mạnh về mặt trực quan, giải thích về mặt xã hội và khai lộ về mặt chính trị. Giáo sư Kim có đóng góp đặc biệt phong phú cho lĩnh vực nhân học đô thị bằng các phân tích chặt chẽ và đa tầng về một môi trường không gian xã hội dường như quá bình dị – vỉa hè của thành phố Hồ Chí Minh. Cũng vậy, giáo sư Kim mang thêm các soi rọi sáng tạo đến những người yêu thích nhiếp ảnh, nghệ thuật đa phương tiện và bản đồ học, và cả những ai quan tâm đến phát triển kinh tế, quyền sở hữu, quy hoạch đô thị, chính sách công và phương pháp dân tộc ký."" - Lawrence J. Vale,  Học viện Công nghệ Massachusetts, tác giả cuốn Purging the Poorest",135200,25,"img64.jpg",C07
GD01,"Nếp Nhà - Gia Đình Giáo Dục - Phép Dạy Con","Nguyễn Bá Học","NXB Kim Đồng",2025,"Trong cuốn Gia Đình Giáo Dục (Phép Dạy Con), trí giả Nguyễn Bá Học có viết: “Việc dạy con cứ nhà nào theo thói quen nhà ấy, không có lấy đâu làm chuyên khoa, cũng không lấy gì làm phương pháp... Có nhà áp chế con trẻ quá mà con vẫn hư, có nhà phóng túng con trẻ quá mà con cũng khá, đều là không có tài năng tri thức về đường giáo dục trong gia đình.” Vậy nên, với tư cách là một nhà văn, nhà giáo dục, ông đã đưa ra những phương pháp dạy trẻ cho những người có trách nhiệm để hướng dẫn trẻ biết cách ăn ở, dưỡng thành nhân cách.",38000,99,"img33.jpg",C09
GD02,"Dạy Con Kiểu Do Thái","Kim Jung Jin","NXB Hồng Đức",2025,"""Ba mẹ chính là giáo viên Nhân văn học tốt nhất. Không có gì khó khăn cả, Ba mẹ chỉ cần kể cho trẻ nghe những trải nghiệm về thế giới và con người bên bàn ăn. Chúng ta gọi đó là “trí tuệ”. Và bàn ăn chính là “lớp học” tốt nhất để ba mẹ truyền trí tuệ cho con của mình.""",75650,71,"img34.jpg",C09
GD03,"Cẩm Nang Sơ Cấp Cứu Trẻ Em","DK","NXB Dân Trí",2019,"Cuốn sách này không chỉ dành cho các bậc phụ huynh mà còn cho cả ông bà, thầy cô giáo, bảo mẫu…, những người thường xuyên hoặc thi thoảng chăm sóc trẻ. Phần nội dung được trình bày rõ ràng, mạch lạc, thông tin hiển thị trên khung tranh rộng với câu từ đơn giản và dễ hiểu. Các tư vấn sơ cấp cứu có thể áp dụng cho trẻ từ sơ sinh cho đến tuổi dậy thì và được cập nhật theo những hướng dẫn y khoa mới nhất. Thông thường, các trường hợp cấp cứu là những tình huống bất ngờ, có thể gây tâm lý hoảng loạn và bất an cho bất kỳ ai đang chăm sóc trẻ. Cuốn sách sẽ giúp bạn học thêm nhiều kỹ năng xử lý cấp cứu hay tai nạn thường ngày, bồi thêm sự tự tin để làm theo phương án tốt nhất. Bạn càng bình tĩnh thì xử lý càng hiệu quả và lắng nghe, nói chuyện với trẻ sẽ giúp bạn đưa ra quyết định tốt nhất cho chính mình và trẻ, giúp nâng cao kết quả điều trị.",159200,10,"img35.jpg",C09
GD04,"Kì Tích Giáo Dục Gia Đình - Con Đường Đến Harward Của Cô Gái Trương An Kỳ","Vương Phi, Trương An Kỳ","NXB Dân Số",2024,"Cuốn sách này là những ghi chép chân thực về quá trình dạy dỗ An Kỳ của người mẹ, tác giả Vương Phi. Với mục tiêu là giúp con trở thành một con người hoàn thiện, Vương Phi mong muốn con cái có một cơ thể khỏe mạnh, nhân cách kiện toàn, vui vẻ, hiểu biết lanh lẹ, học giỏi, có suy nghĩ độc lập, biết đối đãi với mọi người, dám làm dám chịu, có khát vọng vươn cao, ý chí kiên cường, có hoài bão... Con sẽ có kiến thức khoa học của sinh viên khoa học tự nhiên, có tình cảm nhân văn của sinh viên khoa học xã hội. Bởi vì, giỏi cả tự nhiên và xã hội thì con mới có thể trở thành người toàn diện.",140000,5,"img36.jpg",C09
GD05,"Bàn Về Giáo Dục","Bertrand Russell","NXB Hội Nhà Văn",2025,"Trong tác phẩm Bàn về giáo dục đầy sức ảnh hưởng và cũng không kém phần gây tranh cãi này, Russell khát khao một nền giáo dục không còn là một sợi dây trói buộc, mà là đôi cánh nâng đỡ tâm hồn trẻ thơ. Bertrand Russell, triết gia, nhà luận lý học, nhà toán học, nhà tâm lý học vĩ đại của thế kỷ XX, chủ nhân giải Nobel văn chương năm 1950, được ví như một nhà tiên phong trên hành trình khai sáng giáo dục, một nhà tư tưởng vĩ đại đã thắp lên ngọn lửa đổi mới trong thời đại của ông.",170000,25,"img69.jpg",C09
GD06,"1001 Câu Chuyện Giáo Dục Trẻ Em","Vũ Anh","NXB Tri Thức",2025,"Cuốn sách ""1001 câu chuyện giáo dục trẻ em"" là một kho tàng truyện ngắn vô cùng quý giá, không chỉ cung cấp những bài học đạo đức sâu sắc mà còn khơi gợi trí tò mò, nuôi dưỡng tâm hồn trẻ thơ. Qua những tình huống gần gũi, đời thường, các em sẽ dễ dàng hình thành những chuẩn mực đạo đức, rèn luyện kỹ năng sống cần thiết và phát triển tư duy sáng tạo. Mỗi câu chuyện là một hành trình khám phá thú vị, giúp trẻ mở rộng hiểu biết về thế giới xung quanh và trang bị hành trang vững chắc cho cuộc sống.",848000,14,"img70.jpg",C09
GD07,"Kỷ Luật Mềm Trong Gia Đình: Giáo Dục Trẻ 3 - 10 Tuổi Dành Cho Gia Đình Việt","Nguyễn Thị Thu","NXB Lao Động",2021,"Nếu ví như năng lực của một đứa trẻ là chiếc cốc, còn kiến thức là lượng nước đổ vào, thì nếu chiếc cốc càng to, trẻ sẽ càng nhận được nhiều nước sau này. Giai đoạn 0-10 tuổi là thời kì quan trọng nhất để bố mẹ nặn chiếc cốc năng lực cho con, chứ không phải đổ đầy một cốc nước. Ba trụ cột quan trọng để xây dựng nền móng vững chắc cho sự trưởng thành của con sau này: Nuôi dưỡng những năng lực sống và chú trọng bồi đắp những phẩm chất đạo đức, hình thành những thói quen tốt.",151200,21,"img71.jpg",C09
